Year,Month,Three_Component_Index,News_Based_Policy_Uncert_Index
2008,11,148.8425751,162.7133789
2008,12,145.9946747,157.8286743
2009,1,171.946228,184.8178253
2009,2,187.1140289,202.5479584
2009,3,166.9033813,167.9912262
2009,4,131.8561249,107.9272537
2009,5,138.8058472,125.9446259
2009,6,130.9334869,112.472641
2009,7,126.2821503,104.3551102
2009,8,152.5500946,111.1743393
2009,9,145.4443665,99.00963593
2009,10,138.1305542,86.24175262
2009,11,116.1623154,99.77926636
2009,12,121.2210236,108.3960953
2010,1,149.3592834,136.8638611
2010,2,132.798645,116.72155
2010,3,137.4700165,124.6875
2010,4,137.0773926,123.7022018
2010,5,151.1034241,147.7632446
2010,6,140.5691528,129.732193
2010,7,180.0144501,196.9472351
2010,8,147.3090973,127.2281723
2010,9,182.146698,186.7412262
2010,10,163.4249115,154.7627563
2010,11,179.1355743,175.0442657
2010,12,165.4078522,151.5533447
2011,1,142.1704559,111.4928131
2011,2,145.5088959,104.5623627
2011,3,174.3543701,153.8417206
2011,4,157.4958954,124.8465805
2011,5,126.19207,84.54916382
2011,6,158.088623,139.0379028
2011,7,197.9163513,207.1603088
2011,8,245.1267242,283.6655884
2011,9,204.6297913,214.4261017
2011,10,159.7395782,137.8392487
2011,11,166.3390198,143.7145538
2011,12,189.3983612,183.088623
2012,1,178.2865295,154.4180298
2012,2,149.637085,119.4354324
2012,3,137.5531158,98.74810791
2012,4,136.5966949,96.96967316
2012,5,158.5619659,135.879837
2012,6,194.6105804,197.460968
2012,7,184.8796997,180.8035431
2012,8,152.3534546,142.9552917
2012,9,175.2770538,182.107193
2012,10,165.9444885,166.1284027
2012,11,187.4906464,205.8646698
2012,12,192.8251648,214.9519501
2013,1,157.5333099,199.3589478
2013,2,114.6541138,128.5625
2013,3,124.9408112,146.1158447
2013,4,118.7104797,135.4405823
2013,5,104.3045502,109.028038
2013,6,114.616127,126.6258545
2013,7,94.03990936,91.43748474
2013,8,102.7706757,108.7583694
2013,9,144.4017792,179.8897247
2013,10,171.0222473,225.3733063
2013,11,89.90614319,89.91516876
2013,12,104.6021194,115.0207443
2014,1,93.50074005,107.7051392
2014,2,88.9853363,93.36928558
2014,3,93.46759796,101.0187302
2014,4,91.1180191,96.99343109
2014,5,90.39224243,102.0150452
2014,6,81.00762177,85.96846771
2014,7,76.64490509,78.50600433
2014,8,71.262146,63.87733459
2014,9,84.33692169,86.21659088
2014,10,100.2066498,113.3345795
2014,11,88.56003571,93.18595123
2014,12,85.1875,87.41532135
2015,1,117.1606216,120.5442276
2015,2,100.3197403,87.60946655
2015,3,105.2181473,95.97896576
2015,4,109.6437912,103.5449524
2015,5,101.0189514,102.3187027
2015,6,108.9527969,115.8802872
2015,7,98.91843414,98.73478699
2015,8,129.6953125,156.5036163
2015,9,138.7216797,171.9326782
2015,10,102.8940125,110.7019272
2015,11,92.10043335,89.58369446
2015,12,99.34261322,101.9634323
2016,1,119.0151825,154.8573151
2016,2,114.6245575,148.3217773
2016,3,104.1908112,130.4901581
2016,4,84.25134277,96.413414
2016,5,82.0412674,96.22233582
2016,6,162.6291199,233.9561157
2016,7,121.9646454,164.4583893
2016,8,91.8289032,106.8856277
2016,9,79.80895996,86.34352875
2016,10,92.51783752,108.0641251
2016,11,169.3778229,254.1013184
2016,12,115.1520462,161.4247742
2017,1,134.8695374,195.0406342
2017,2,133.3314667,177.77771
2017,3,119.7761688,154.6096802
2017,4,121.5705948,157.6765442
2017,5,104.1709747,129.8880615
2017,6,98.75895691,120.6384659
2017,7,110.7535934,141.1383209
2017,8,109.1782608,137.8597107
